,target_idx,e_mse,e_h,e_v,e_comb_target
3,4,0.032848745,1.931515017,0.802312688,2.091286713
4,4,0.030794827,1.79758575,0.752708804,1.948625473
5,4,0.020993338,1.146145136,0.605501546,1.296180994
6,4,0.023427318,1.254837497,0.666871295,1.420932805
7,4,0.022222675,1.239283703,0.594065369,1.374233457
8,4,0.026049944,1.419742153,0.744651685,1.603034595
9,4,0.027299386,1.504290457,0.7632397,1.686679921
0,5,0.050421323,1.495323117,0.867055243,1.728320932
1,5,0.03285707,0.780528847,0.794698282,1.113828701
2,5,0.036877588,0.730838631,1.005636314,1.243064807
3,5,0.046739164,0.775688117,1.383220727,1.585725082
4,5,0.046667425,1.073552416,1.150178164,1.573151416
5,5,0.03802985,0.733637243,1.057734341,1.287160041
6,5,0.037270792,0.814242675,0.953041252,1.253409026
7,5,0.045810463,1.148597252,1.031790293,1.543792877
8,5,0.047806593,1.32999286,0.90146657,1.606530161
9,5,0.050340522,1.365722893,1.006801653,1.696490707
0,6,0.082174357,1.548236467,1.137799008,1.921031606
1,6,0.080658447,1.590367652,0.963904611,1.859415737
2,6,0.088317796,1.824330092,0.894383251,2.031506872
3,6,0.081558351,1.77409535,0.579006488,1.866074478
4,6,0.078501488,1.512192751,0.954235197,1.787860737
5,6,0.061888868,1.150736109,0.830727504,1.419130236
6,6,0.052212835,0.878533341,0.799124493,1.187527097
7,6,0.045153664,0.605481754,0.840658868,1.035958619
8,6,0.040460729,0.554371989,0.736868126,0.922081971
9,6,0.072670128,1.338825135,0.984176832,1.661430602
0,7,0.161151263,2.334114236,1.607257498,2.83295783
1,7,0.111425855,1.512426521,1.208983301,1.935902052
2,7,0.098582619,1.377596696,0.989548894,1.695943669
3,7,0.065907663,0.965423816,0.582114592,1.127285352
4,7,0.04840908,0.407446205,0.658626895,0.774449836
5,7,0.059690921,0.662562849,0.779970088,1.023344713
6,7,0.064691565,0.675551914,0.872189992,1.103152196
7,7,0.074419047,0.873649899,0.933379263,1.278354775
8,7,0.081466336,1.080063594,0.879339386,1.392626575
9,7,0.090587856,1.201540187,1.020199896,1.576038193
0,8,0.034521557,1.16079085,2.011304591,2.321759565
1,8,0.042430364,1.688255301,2.166813365,2.745879036
2,8,0.042224727,1.662971484,2.169142166,2.732282492
3,8,0.033219462,1.42043682,1.572681854,2.118712428
4,8,0.026756709,1.17204217,1.202572005,1.679004308
5,8,0.02382337,1.288992327,0.752717874,1.492549181
6,8,0.02885246,1.585577865,0.878615407,1.812521417
7,8,0.03200931,1.819593855,0.86244884,2.013390007
8,8,0.031525209,1.739768136,0.953506558,1.983645664
9,8,0.030713563,1.752566224,0.823643128,1.936241177
0,9,0.213329835,4.8464121,6.154706885,7.810708519
1,9,0.095796825,1.949127523,2.829859827,3.434362986
2,9,0.080320079,1.842733851,2.107787626,2.798626536
3,9,0.069460314,1.900912541,1.400698985,2.360624265
4,9,0.05992652,1.528394092,1.377689518,2.057235107
5,9,0.058305097,1.016584657,1.727424271,2.004042518
6,9,0.064959517,0.95021275,1.996576056,2.210827438
7,9,0.067665936,1.171067094,1.987792573,2.306624464
8,9,0.061947367,0.884279921,1.928942987,2.12169507
9,9,0.044609833,0.648724641,1.395123317,1.538466766
0,10,0.124313554,0.636848974,2.965636067,3.033004688
1,10,0.107132658,1.223476703,2.249955054,2.56049111
2,10,0.079969642,0.989031634,1.59756089,1.878661858
3,10,0.084810649,1.550333327,1.227303697,1.976951556
4,10,0.06036385,1.197997058,0.704487997,1.389680171
5,10,0.045316836,0.914120005,0.494530732,1.03927524
6,10,0.051326223,0.902297826,0.761189216,1.180406202
7,10,0.06123424,1.093489202,0.883020343,1.405370023
8,10,0.058429582,1.035291749,0.849035182,1.338796454
9,10,0.055674139,0.941806859,0.875298847,1.285640785
0,11,0.233499542,1.412209109,4.226038446,4.454123324
1,11,0.111730964,1.25752473,1.553953763,1.998647017
2,11,0.114043666,1.74272303,1.046329298,2.032372513
3,11,0.112653871,1.443860447,1.38665587,2.001479342
4,11,0.104652297,1.512908323,1.062591985,1.848497684
5,11,0.090615783,1.053445895,1.200632159,1.59706485
6,11,0.075570805,0.701691551,1.130039639,1.330077157
7,11,0.071057953,0.706211119,1.029273363,1.248167939
8,11,0.086286081,0.916165895,1.212082809,1.519211589
